epoch,accuracy,learning_rate,loss,mean_iou,val_accuracy,val_loss,val_mean_iou
0,0.5645312666893005,0.0010000000474974513,0.6566656231880188,0.18311423063278198,0.27101242542266846,0.8393469452857971,0.04139597713947296
1,0.7705972790718079,0.0010000000474974513,0.46115192770957947,0.35159721970558167,0.7738050818443298,0.7841980457305908,0.10045994818210602
2,0.8252946734428406,0.0010000000474974513,0.3738497793674469,0.4207378625869751,0.7838833332061768,0.7923993468284607,0.12567922472953796
3,0.8544861078262329,0.0010000000474974513,0.3321115970611572,0.46361976861953735,0.7956541180610657,0.7730593681335449,0.1634511947631836
4,0.8710917234420776,0.0010000000474974513,0.3036431670188904,0.4937637150287628,0.8220329284667969,0.5968583226203918,0.26895084977149963
5,0.8796197772026062,0.0010000000474974513,0.2851518392562866,0.5144070982933044,0.8419618010520935,0.4910334050655365,0.3461989164352417
6,0.8899202346801758,0.0010000000474974513,0.26419001817703247,0.539539635181427,0.8779343962669373,0.3116672933101654,0.479337215423584
7,0.8964701294898987,0.0010000000474974513,0.249661386013031,0.5584375858306885,0.8911802768707275,0.3064134120941162,0.4866282045841217
8,0.9023300409317017,0.0010000000474974513,0.235650435090065,0.5745775699615479,0.8886991739273071,0.29800283908843994,0.5010043978691101
9,0.9061478972434998,0.0010000000474974513,0.22472724318504333,0.5898284316062927,0.8896492123603821,0.28183671832084656,0.5186997056007385
10,0.9111012816429138,0.0010000000474974513,0.21256746351718903,0.6067126989364624,0.8931002616882324,0.2782653570175171,0.5100491046905518
11,0.9174268841743469,0.0010000000474974513,0.20008188486099243,0.6256673336029053,0.8825604319572449,0.3292320966720581,0.4737766683101654
12,0.9213531613349915,0.0010000000474974513,0.19145239889621735,0.6385977268218994,0.8940064907073975,0.2857530117034912,0.5094631314277649
13,0.9235747456550598,0.0010000000474974513,0.1838841289281845,0.6491518020629883,0.8880032300949097,0.3023146986961365,0.5094679594039917
14,0.9304342865943909,0.0010000000474974513,0.16881845891475677,0.6715904474258423,0.8927544951438904,0.26406657695770264,0.528485119342804
15,0.9354576468467712,0.0010000000474974513,0.15939204394817352,0.6900436282157898,0.8984158039093018,0.2998420000076294,0.516029417514801
16,0.9387829303741455,0.0010000000474974513,0.15091896057128906,0.7045468091964722,0.8933587670326233,0.2827129065990448,0.517507791519165
17,0.9414835572242737,0.0010000000474974513,0.14496420323848724,0.7131236791610718,0.9062872529029846,0.2728930711746216,0.5414912700653076
18,0.9473787546157837,0.0010000000474974513,0.13245773315429688,0.7362854480743408,0.8947421312332153,0.27820631861686707,0.5239720940589905
19,0.94964599609375,0.0010000000474974513,0.12772026658058167,0.7480462789535522,0.9054905772209167,0.27928653359413147,0.5313845276832581
20,0.9513230323791504,0.0010000000474974513,0.12301794439554214,0.7556887865066528,0.9076293706893921,0.2687934935092926,0.5449638962745667
21,0.9563993215560913,0.0010000000474974513,0.11270791292190552,0.7775384187698364,0.8994266986846924,0.26597803831100464,0.5317490100860596
22,0.957768440246582,0.0010000000474974513,0.1093551367521286,0.7816025614738464,0.9070503115653992,0.2846149802207947,0.5325069427490234
23,0.9601378440856934,0.0010000000474974513,0.10550754517316818,0.7912688851356506,0.9037875533103943,0.295881986618042,0.5178577303886414
24,0.9618543386459351,0.0010000000474974513,0.10089268535375595,0.7992203235626221,0.8990393280982971,0.28290989995002747,0.5387113094329834
25,0.9635049700737,0.0010000000474974513,0.09677312523126602,0.809357225894928,0.8927538990974426,0.3113712668418884,0.5185787677764893
26,0.9708495140075684,0.0005000000237487257,0.08209724724292755,0.8455238938331604,0.910880446434021,0.27016669511795044,0.5538280606269836
27,0.9742594361305237,0.0005000000237487257,0.07436515390872955,0.8628052473068237,0.9153289794921875,0.26585569977760315,0.5599655508995056
28,0.9756428003311157,0.0005000000237487257,0.07088850438594818,0.8698852062225342,0.9142093062400818,0.2671421766281128,0.5573822855949402
29,0.9764114618301392,0.0005000000237487257,0.06864241510629654,0.8734851479530334,0.9121046662330627,0.2723010182380676,0.5529428124427795
30,0.9768403172492981,0.0005000000237487257,0.06747642904520035,0.876864492893219,0.9149368405342102,0.2763417363166809,0.5559446215629578
31,0.9775687456130981,0.0005000000237487257,0.0656585544347763,0.878574788570404,0.909690260887146,0.28967180848121643,0.5485106110572815
32,0.9779329299926758,0.0005000000237487257,0.06422372907400131,0.881088376045227,0.9117529392242432,0.292459100484848,0.5447399020195007
33,0.9795242547988892,0.0002500000118743628,0.060081060975790024,0.8907248973846436,0.9132711887359619,0.279418408870697,0.5532153844833374
34,0.9803118705749512,0.0002500000118743628,0.057997316122055054,0.8950774073600769,0.9146620035171509,0.276704877614975,0.5569420456886292
35,0.9806633591651917,0.0002500000118743628,0.056914735585451126,0.8965851664543152,0.9131086468696594,0.2829703390598297,0.5523511171340942
36,0.9808164238929749,0.0002500000118743628,0.056150346994400024,0.8978589177131653,0.9156234860420227,0.28189581632614136,0.5551578402519226
37,0.9810740351676941,0.0002500000118743628,0.055377259850502014,0.8993756771087646,0.9141132831573486,0.2840804159641266,0.5524863600730896
